,feature,importance
11,房屋面积,15582259.350790042
10,总楼层,3105172.398403259
2,区,1715575.2729654175
0,位置,1640066.1821635843
35,每个房间面积,1544248.8753699572
6,地铁站点,1375400.0791857196
8,小区名,1346869.8850771387
28,区_12,1240857.4123916638
14,距离,1161719.8450433007
4,卫的数量,918623.1222706145
31,位置_is_137,743444.995701915
7,地铁线路,720525.4764549031
30,位置_is_43,576632.5859804535
27,区_10,539182.7937607708
36,楼层*总楼层,534275.3662006465
26,区_6,509425.8475312828
34,总房间数量,488718.4942094901
29,位置_is_78,463710.11161299027
3,卧室数量,269011.84519270784
5,厅的数量,204067.72531525878
13,装修情况,185042.54297850915
32,位置_is_102,149040.07360552228
12,楼层,137838.7095901996
33,位置_is_71,97748.05860522151
20,房屋朝向_南,93901.07956082269
17,房屋朝向_东南,77549.08422019865
15,房屋朝向_东,47876.61735111952
22,房屋朝向_西,43936.95888449007
1,出租方式,42265.281074040104
9,居住状态,37563.292494759364
24,房屋朝向_西南,37024.23235747565
21,房屋朝向_南 北,35083.19290240406
18,房屋朝向_其他,34594.06592192111
19,房屋朝向_北,25194.74464137503
23,房屋朝向_西北,21385.22620423138
16,房屋朝向_东北,12997.769419274642
25,房屋朝向_nan,0.0
